manufacturer,model,tsn,year,fuel_type,federal_state,new_registration
VOLKSWAGEN (D),GOLF,CBP,2019,E,Hessen,279
VOLKSWAGEN (D),UP!,BKY,2019,E,Hessen,28
VOLKSWAGEN (D),UP!,CKJ,2019,E,Hessen,2
AUDI (D),e-tron 55,BSL,2019,E,Mecklenburg-Vorpommern,0
AUDI (D),Audi e-tron,BPG,2019,E,Mecklenburg-Vorpommern,18
BMW,"i3,i3s",BSI,2019,E,Mecklenburg-Vorpommern,46
BMW,Cooper SE,CYC,2019,E,Mecklenburg-Vorpommern,0
CITROEN (F),"C-ZERO,C-Zero",AJT,2019,E,Mecklenburg-Vorpommern,1
DAIMLER (D),eVito Tourer,IAT,2019,E,Mecklenburg-Vorpommern,0
DAIMLER (D),eVito Tourer,IAU,2019,E,Mecklenburg-Vorpommern,2
DAIMLER (D),forfour ed,GON,2019,E,Mecklenburg-Vorpommern,0
DAIMLER (D),fortwo coupe ed,HHE,2019,E,Mecklenburg-Vorpommern,0
DAIMLER (D),EQ forfour,HSE,2019,E,Mecklenburg-Vorpommern,19
DAIMLER (D),EQ fortwo cabrio,HSG,2019,E,Mecklenburg-Vorpommern,5
DAIMLER (D),EQ fortwo coupe,HSF,2019,E,Mecklenburg-Vorpommern,36
DAIMLER (D),EQC 400 4MATIC,AKA,2019,E,Mecklenburg-Vorpommern,0
DAIMLER (D),EQC 400 4MATIC,HXW,2019,E,Mecklenburg-Vorpommern,1
HYUNDAI MOTOR (ROK),IONIQ,AHL,2019,E,Mecklenburg-Vorpommern,9
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIO,2019,E,Mecklenburg-Vorpommern,14
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIP,2019,E,Mecklenburg-Vorpommern,4
JAGUAR LAND ROVER (GB),Jaguar I-PACE,AHX,2019,E,Mecklenburg-Vorpommern,1
KIA MOTOR (ROK),NIRO,AIB,2019,E,Mecklenburg-Vorpommern,3
KIA MOTOR (ROK),SOUL,AGJ,2019,E,Mecklenburg-Vorpommern,0
KIA MOTOR (ROK),SOUL,AIH,2019,E,Mecklenburg-Vorpommern,8
NISSAN (CH),"Nissan Leaf 40kWh,Nissan",ALE,2019,E,Mecklenburg-Vorpommern,26
NISSAN (CH),NISSAN e-NV200,AIA,2019,E,Mecklenburg-Vorpommern,7
OPEL,Ampera-e,AGT,2019,E,Mecklenburg-Vorpommern,6
PEUGEOT (F),iOn,AOG,2019,E,Mecklenburg-Vorpommern,1
